,precision,recall,f1-score,support
neg,0.8534031413612565,0.815,0.8337595907928389,200.0
pos,0.8229665071770335,0.86,0.8410757946210269,200.0
accuracy,0.8375,0.8375,0.8375,0.8375
macro avg,0.838184824269145,0.8374999999999999,0.8374176927069329,400.0
weighted avg,0.838184824269145,0.8375,0.8374176927069328,400.0
